,name,age,gender,score
982,Pooja,21.0,F,
983,Pooja,21.0,M,
984,Rahul,21.0,M,10.0
985,Kabir,21.0,F,10.0
986,Aryan,,F,10.0
987,Vikram,21.0,M,10.0
988,Vikram,21.0,M,
989,Pooja,,F,10.0
990,nan,,F,
991,Rahul,,F,
992,Meera,21.0,M,
993,Pooja,21.0,M,10.0
994,Pooja,,nan,
995,Zoya,21.0,F,10.0
996,Saanvi,21.0,M,
997,Kabir,21.0,nan,10.0
998,Kabir,,M,
999,Ananya,21.0,M,10.0
1000,nan,21.0,M,
1001,Kabir,21.0,nan,
1002,Ananya,21.0,F,10.0
